"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2014","Ireland","Population on 1 January - total","4,637,852",""
"2014","Greece","Population on 1 January - total","10,926,807",""
"2014","Spain","Population on 1 January - total","46,512,199",""
"2014","France","Population on 1 January - total","66,165,980","b"
"2014","France (metropolitan)","Population on 1 January - total",":",""
"2014","Croatia","Population on 1 January - total","4,246,809",""
"2014","Italy","Population on 1 January - total","60,782,668",""
"2014","Cyprus","Population on 1 January - total","858,000",""
"2014","Latvia","Population on 1 January - total","2,001,468",""
"2014","Lithuania","Population on 1 January - total","2,943,472",""
"2014","Luxembourg","Population on 1 January - total","549,680",""
"2014","Hungary","Population on 1 January - total","9,877,365",""
"2014","Malta","Population on 1 January - total","429,424",""
"2014","Netherlands","Population on 1 January - total","16,829,289",""
"2014","Austria","Population on 1 January - total","8,507,786",""
"2014","Poland","Population on 1 January - total","38,017,856",""
"2014","Portugal","Population on 1 January - total","10,427,301",""
"2014","Romania","Population on 1 January - total","19,947,311",""
"2014","Slovenia","Population on 1 January - total","2,061,085",""
"2014","Slovakia","Population on 1 January - total","5,415,949",""
"2014","Finland","Population on 1 January - total","5,451,270",""
"2015","European Union - 27 countries (from 2020)","Population on 1 January - total","443,666,812","b"
"2015","European Union - 28 countries (2013-2020)","Population on 1 January - total","508,520,205","b"
"2015","European Union - 27 countries (2007-2013)","Population on 1 January - total","504,294,889","b"
"2015","Euro area - 19 countries  (from 2015)","Population on 1 January - total","338,562,121","b"
"2015","Euro area - 18 countries (2014)","Population on 1 January - total","335,640,859","b"
"2015","Belgium","Population on 1 January - total","11,237,274",""
"2015","Bulgaria","Population on 1 January - total","7,202,198",""
"2015","Czechia","Population on 1 January - total","10,538,275",""
"2015","Denmark","Population on 1 January - total","5,659,715",""
"2015","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","81,197,537",""
"2015","Estonia","Population on 1 January - total","1,314,870","b"
"2015","Ireland","Population on 1 January - total","4,677,627",""
"2015","Greece","Population on 1 January - total","10,858,018",""
"2015","Spain","Population on 1 January - total","46,449,565",""
"2015","France","Population on 1 January - total","66,458,153",""
"2015","France (metropolitan)","Population on 1 January - total",":",""
"2015","Croatia","Population on 1 January - total","4,225,316",""
"2015","Italy","Population on 1 January - total","60,795,612",""
"2015","Cyprus","Population on 1 January - total","847,008",""
"2015","Latvia","Population on 1 January - total","1,986,096",""
"2015","Lithuania","Population on 1 January - total","2,921,262",""
"2015","Luxembourg","Population on 1 January - total","562,958",""
"2015","Hungary","Population on 1 January - total","9,855,571",""
"2015","Malta","Population on 1 January - total","439,691",""
"2015","Netherlands","Population on 1 January - total","16,900,726",""
"2015","Austria","Population on 1 January - total","8,584,926",""
"2015","Poland","Population on 1 January - total","38,005,614",""
"2015","Portugal","Population on 1 January - total","10,374,822",""
"2015","Romania","Population on 1 January - total","19,870,647",""
"2015","Slovenia","Population on 1 January - total","2,062,874",""
"2015","Slovakia","Population on 1 January - total","5,421,349",""
"2015","Finland","Population on 1 January - total","5,471,753",""
"2016","European Union - 27 countries (from 2020)","Population on 1 January - total","444,802,830",""
"2016","European Union - 28 countries (2013-2020)","Population on 1 January - total","510,181,874",""
"2016","European Union - 27 countries (2007-2013)","Population on 1 January - total","505,991,205",""
"2016","Euro area - 19 countries  (from 2015)","Population on 1 January - total","339,787,987",""
"2016","Euro area - 18 countries (2014)","Population on 1 January - total","336,899,429",""
"2016","Belgium","Population on 1 January - total","11,311,117",""
"2016","Bulgaria","Population on 1 January - total","7,153,784",""
"2016","Czechia","Population on 1 January - total","10,553,843",""
"2016","Denmark","Population on 1 January - total","5,707,251",""
"2016","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","82,175,684",""
"2016","Estonia","Population on 1 January - total","1,315,944",""
"2016","Ireland","Population on 1 January - total","4,726,286",""
"2016","Greece","Population on 1 January - total","10,783,748",""
"2016","Spain","Population on 1 January - total","46,440,099",""
"2016","France","Population on 1 January - total","66,638,391",""
"2016","France (metropolitan)","Population on 1 January - total",":",""
"2016","Croatia","Population on 1 January - total","4,190,669",""
"2016","Italy","Population on 1 January - total","60,665,551",""
"2016","Cyprus","Population on 1 January - total","848,319",""
"2016","Latvia","Population on 1 January - total","1,968,957",""
"2016","Lithuania","Population on 1 January - total","2,888,558",""
"2016","Luxembourg","Population on 1 January - total","576,249",""
"2016","Hungary","Population on 1 January - total","9,830,485",""
"2016","Malta","Population on 1 January - total","450,415",""
"2016","Netherlands","Population on 1 January - total","16,979,120",""
"2016","Austria","Population on 1 January - total","8,700,471",""
"2016","Poland","Population on 1 January - total","37,967,209",""
"2016","Portugal","Population on 1 January - total","10,341,330",""
"2016","Romania","Population on 1 January - total","19,760,585",""
"2016","Slovenia","Population on 1 January - total","2,064,188",""
"2016","Slovakia","Population on 1 January - total","5,426,252",""
"2016","Finland","Population on 1 January - total","5,487,308",""
"2017","European Union - 27 countries (from 2020)","Population on 1 January - total","445,534,430","b"
"2017","European Union - 28 countries (2013-2020)","Population on 1 January - total","511,378,572","b"
"2017","European Union - 27 countries (2007-2013)","Population on 1 January - total","507,224,359","b"
"2017","Euro area - 19 countries  (from 2015)","Population on 1 January - total","340,541,142","b"
"2017","Euro area - 18 countries (2014)","Population on 1 January - total","337,693,238","b"
"2017","Belgium","Population on 1 January - total","11,351,727",""
"2017","Bulgaria","Population on 1 January - total","7,101,859",""
"2017","Czechia","Population on 1 January - total","10,578,820",""
"2017","Denmark","Population on 1 January - total","5,748,769",""
"2017","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","82,521,653",""
"2017","Estonia","Population on 1 January - total","1,315,635",""
"2017","Ireland","Population on 1 January - total","4,784,383",""
"2017","Greece","Population on 1 January - total","10,768,193",""
"2017","Spain","Population on 1 January - total","46,528,024",""
"2017","France","Population on 1 January - total","66,809,816",""
"2017","France (metropolitan)","Population on 1 January - total",":",""
"2017","Croatia","Population on 1 January - total","4,154,213",""
"2017","Italy","Population on 1 January - total","60,589,445",""
"2017","Cyprus","Population on 1 January - total","854,802",""
"2017","Latvia","Population on 1 January - total","1,950,116",""
"2017","Lithuania","Population on 1 January - total","2,847,904",""
"2017","Luxembourg","Population on 1 January - total","590,667","b"
"2017","Hungary","Population on 1 January - total","9,797,561",""
"2017","Malta","Population on 1 January - total","460,297",""
"2017","Netherlands","Population on 1 January - total","17,081,507",""
"2017","Austria","Population on 1 January - total","8,772,865",""
"2017","Poland","Population on 1 January - total","37,972,964",""
"2017","Portugal","Population on 1 January - total","10,309,573",""
"2017","Romania","Population on 1 January - total","19,643,949",""
"2017","Slovenia","Population on 1 January - total","2,065,895",""
"2017","Slovakia","Population on 1 January - total","5,435,343",""
"2017","Finland","Population on 1 January - total","5,503,297",""
"2018","European Union - 27 countries (from 2020)","Population on 1 January - total","446,208,557","p"
"2018","European Union - 28 countries (2013-2020)","Population on 1 January - total","512,482,133","p"
"2018","European Union - 27 countries (2007-2013)","Population on 1 January - total","508,376,640","p"
"2018","Euro area - 19 countries  (from 2015)","Population on 1 January - total","341,253,004","p"
"2018","Euro area - 18 countries (2014)","Population on 1 January - total","338,444,103","p"
"2018","Belgium","Population on 1 January - total","11,398,589",""
"2018","Bulgaria","Population on 1 January - total","7,050,034",""
"2018","Czechia","Population on 1 January - total","10,610,055",""
"2018","Denmark","Population on 1 January - total","5,781,190",""
"2018","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","82,792,351",""
"2018","Estonia","Population on 1 January - total","1,319,133",""
"2018","Ireland","Population on 1 January - total","4,830,392",""
"2018","Greece","Population on 1 January - total","10,741,165",""
"2018","Spain","Population on 1 January - total","46,658,447",""
"2018","France","Population on 1 January - total","67,026,224","p"
"2018","France (metropolitan)","Population on 1 January - total",":",""
"2018","Croatia","Population on 1 January - total","4,105,493",""
"2018","Italy","Population on 1 January - total","60,483,973",""
"2018","Cyprus","Population on 1 January - total","864,236",""
"2018","Latvia","Population on 1 January - total","1,934,379",""
"2018","Lithuania","Population on 1 January - total","2,808,901",""
"2018","Luxembourg","Population on 1 January - total","602,005",""
"2018","Hungary","Population on 1 January - total","9,778,371",""
"2018","Malta","Population on 1 January - total","475,701",""
"2018","Netherlands","Population on 1 January - total","17,181,084",""
"2018","Austria","Population on 1 January - total","8,822,267",""
"2018","Poland","Population on 1 January - total","37,976,687",""
"2018","Portugal","Population on 1 January - total","10,291,027",""
"2018","Romania","Population on 1 January - total","19,533,481",""
"2018","Slovenia","Population on 1 January - total","2,066,880",""
"2018","Slovakia","Population on 1 January - total","5,443,120",""
"2018","Finland","Population on 1 January - total","5,513,130",""
"2019","European Union - 27 countries (from 2020)","Population on 1 January - total","446,446,444","bp"
"2019","European Union - 28 countries (2013-2020)","Population on 1 January - total","513,093,556","bp"
"2019","European Union - 27 countries (2007-2013)","Population on 1 January - total","509,017,310","bp"
"2019","Euro area - 19 countries  (from 2015)","Population on 1 January - total","341,524,067","bp"
"2019","Euro area - 18 countries (2014)","Population on 1 January - total","338,729,883","bp"
"2019","Belgium","Population on 1 January - total","11,455,519",""
"2019","Bulgaria","Population on 1 January - total","7,000,039",""
"2019","Czechia","Population on 1 January - total","10,649,800",""
"2019","Denmark","Population on 1 January - total","5,806,081",""
"2019","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","83,019,213",""
"2019","Estonia","Population on 1 January - total","1,324,820",""
"2019","Ireland","Population on 1 January - total","4,904,240",""
"2019","Greece","Population on 1 January - total","10,724,599",""
"2019","Spain","Population on 1 January - total","46,937,060",""
"2019","France","Population on 1 January - total","67,177,636","p"
"2019","France (metropolitan)","Population on 1 January - total",":",""
"2019","Croatia","Population on 1 January - total","4,076,246",""
"2019","Italy","Population on 1 January - total","59,816,673","b"
"2019","Cyprus","Population on 1 January - total","875,899",""
"2019","Latvia","Population on 1 January - total","1,919,968",""
"2019","Lithuania","Population on 1 January - total","2,794,184",""
"2019","Luxembourg","Population on 1 January - total","613,894",""
"2019","Hungary","Population on 1 January - total","9,772,756",""
"2019","Malta","Population on 1 January - total","493,559",""
"2019","Netherlands","Population on 1 January - total","17,282,163",""
"2019","Austria","Population on 1 January - total","8,858,775",""
"2019","Poland","Population on 1 January - total","37,972,812",""
"2019","Portugal","Population on 1 January - total","10,276,617",""
"2019","Romania","Population on 1 January - total","19,414,458",""
"2019","Slovenia","Population on 1 January - total","2,080,908",""
"2019","Slovakia","Population on 1 January - total","5,450,421",""
"2019","Finland","Population on 1 January - total","5,517,919",""
"2020","European Union - 27 countries (from 2020)","Population on 1 January - total","447,319,916","ep"
"2020","European Union - 28 countries (2013-2020)","Population on 1 January - total",":",""
"2020","European Union - 27 countries (2007-2013)","Population on 1 January - total","510,287,293","ep"
"2020","Euro area - 19 countries  (from 2015)","Population on 1 January - total","342,409,476","p"
"2020","Euro area - 18 countries (2014)","Population on 1 January - total","339,615,386","p"
"2020","Belgium","Population on 1 January - total","11,522,440",""
"2020","Bulgaria","Population on 1 January - total","6,951,482",""
"2020","Czechia","Population on 1 January - total","10,693,939",""
"2020","Denmark","Population on 1 January - total","5,822,763",""
"2020","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","83,166,711",""
"2020","Estonia","Population on 1 January - total","1,328,976",""
"2020","Ireland","Population on 1 January - total","4,964,440",""
"2020","Greece","Population on 1 January - total","10,718,565",""
"2020","Spain","Population on 1 January - total","47,332,614",""
"2020","France","Population on 1 January - total","67,320,216","p"
"2020","France (metropolitan)","Population on 1 January - total",":",""
"2020","Croatia","Population on 1 January - total","4,058,165",""
"2020","Italy","Population on 1 January - total","59,641,488",""
"2020","Cyprus","Population on 1 January - total","888,005",""
"2020","Latvia","Population on 1 January - total","1,907,675",""
"2020","Lithuania","Population on 1 January - total","2,794,090",""
"2020","Luxembourg","Population on 1 January - total","626,108",""
"2020","Hungary","Population on 1 January - total","9,769,526",""
"2020","Malta","Population on 1 January - total","514,564",""
"2020","Netherlands","Population on 1 January - total","17,407,585",""
"2020","Austria","Population on 1 January - total","8,901,064",""
"2020","Poland","Population on 1 January - total","37,958,138",""
"2020","Portugal","Population on 1 January - total","10,295,909",""
"2020","Romania","Population on 1 January - total","19,328,838","e"
"2020","Slovenia","Population on 1 January - total","2,095,861",""
"2020","Slovakia","Population on 1 January - total","5,457,873",""
"2020","Finland","Population on 1 January - total","5,525,292",""
